idx,a,b,prefix,target,target_id,t_star,n_edges_S,logit_full,logit_ablate_S,drop_S,drop_random_mean,drop_random_std,seed
0,cat,sat,The cat sat. The cat, sat,3332,6,60,17.235193252563477,10.003279685974121,7.2319135665893555,0.0008661270141601563,0.35590063504921804,0
1,dog,ran,The dog ran. The dog, ran,4966,6,60,18.70279884338379,13.101795196533203,5.601003646850586,0.11156330108642579,0.08008229583111727,1000
2,bird,flew,The bird flew. The bird, flew,13112,6,75,17.985986709594727,15.42685604095459,2.5591306686401367,0.0060272216796875,0.18431985523756367,2000
3,boy,jumped,The boy jumped. The boy, jumped,11687,6,60,18.103759765625,14.69438362121582,3.4093761444091797,0.029234695434570312,0.1556733364928606,3000
4,girl,smiled,The girl smiled. The girl, smiled,13541,6,75,17.585479736328125,13.967523574829102,3.6179561614990234,-0.08578510284423828,0.5497079572047361,4000
5,man,walked,The man walked. The man, walked,6807,6,60,18.279216766357422,14.921801567077637,3.357415199279785,0.02577075958251953,0.6397337359077611,5000
6,woman,talked,The woman talked. The woman, talked,6619,6,60,17.99113655090332,10.64370346069336,7.347433090209961,0.013606452941894531,0.12651721645056646,6000
7,car,stopped,The car stopped. The car, stopped,5025,6,75,15.395028114318848,14.399293899536133,0.9957342147827148,0.232407283782959,0.33474347899616774,7000
8,train,moved,The train moved. The train, moved,3888,6,75,15.546777725219727,12.494603157043457,3.0521745681762695,0.26210727691650393,0.3976045953100659,8000
9,king,ruled,The king ruled. The king, ruled,8879,6,75,16.04707145690918,12.752269744873047,3.294801712036133,-0.06106281280517578,0.6626641135430327,9000
10,queen,spoke,The queen spoke. The queen, spoke,5158,6,45,17.78162384033203,15.428716659545898,2.352907180786133,0.10484828948974609,0.17308699287879215,10000
11,teacher,asked,The teacher asked. The teacher, asked,1965,6,60,17.95006561279297,13.58012866973877,4.369936943054199,0.1506427764892578,0.3743771885067022,11000
12,student,answered,The student answered. The student, answered,9373,6,75,16.626962661743164,14.263463020324707,2.363499641418457,0.2034076690673828,0.5647570151721121,12000
13,doctor,helped,The doctor helped. The doctor, helped,4193,6,60,18.14288330078125,14.970730781555176,3.172152519226074,0.36224365234375,0.3424094429991974,13000
14,player,scored,The player scored. The player, scored,7781,6,75,16.52883529663086,13.898266792297363,2.630568504333496,-0.016873550415039063,0.27100512164291946,14000
15,artist,painted,The artist painted. The artist, painted,13055,6,75,16.262815475463867,10.107768058776855,6.155047416687012,0.04640874862670898,0.22381056665050234,15000
16,writer,wrote,The writer wrote. The writer, wrote,2630,6,75,16.538265228271484,14.090002059936523,2.448263168334961,0.1424793243408203,0.1443464059019327,16000
17,chef,cooked,The chef cooked. The chef, cooked,15847,6,75,16.652616500854492,9.79879379272461,6.853822708129883,0.2544898986816406,0.4131502001818843,17000
18,farmer,worked,The farmer worked. The farmer, worked,3111,6,60,17.772214889526367,13.538290023803711,4.233924865722656,0.16282062530517577,0.12436069447888845,18000
19,river,flowed,The river flowed. The river, flowed,35456,6,75,15.166662216186523,12.541446685791016,2.625215530395508,0.06735000610351563,0.2248402115625546,19000
20,fire,burned,The fire burned. The fire, burned,11544,6,75,15.360426902770996,13.10873031616211,2.2516965866088867,0.22236146926879882,0.5011900267312029,20000
21,wind,blew,The wind blew. The wind, blew,17948,6,75,17.00861167907715,13.922567367553711,3.0860443115234375,0.2376373291015625,0.30735129131303984,21000
22,door,opened,The door opened. The door, opened,4721,6,75,15.194733619689941,14.147401809692383,1.0473318099975586,-0.026854419708251955,0.15134279743983975,22000
23,mouse,hid,The mouse hid. The mouse, hid,24519,6,60,15.870003700256348,8.717656135559082,7.152347564697266,-0.16772918701171874,0.9215267044537636,23000
24,bear,slept,The bear slept. The bear, slept,21256,6,60,17.002962112426758,11.360455513000488,5.6425065994262695,0.12692298889160156,0.3422787505494595,24000
25,fox,waited,The fox waited. The fox, waited,13488,6,75,15.888470649719238,10.272173881530762,5.616296768188477,0.07226848602294922,0.5084477681320329,25000
