idx,a,b,prefix,target,target_id,t_star,n_edges_S,logit_full,logit_ablate_S,drop_S,drop_random_mean,drop_random_std,seed
0,cat,sat,The cat sat. The cat, sat,2206,5,60,16.124109268188477,15.895569801330566,0.22853946685791016,-0.08497486114501954,0.24023253123666305,0
1,dog,ran,The dog ran. The dog, ran,6337,5,60,16.532609939575195,16.826623916625977,-0.29401397705078125,0.050369548797607425,0.2120942743090492,1000
2,bird,flew,The bird flew. The bird, flew,18811,5,60,17.069778442382812,14.974679946899414,2.0950984954833984,0.028790092468261717,0.14230431971735633,2000
3,boy,jumped,The boy jumped. The boy, jumped,16780,5,60,15.111830711364746,13.312728881835938,1.7991018295288086,-0.14146966934204103,0.49628652475895335,3000
4,girl,smiled,The girl smiled. The girl, smiled,11373,5,60,14.904153823852539,15.325767517089844,-0.4216136932373047,-0.010680484771728515,0.09404147286465957,4000
5,man,walked,The man walked. The man, walked,7428,5,60,15.653058052062988,14.259929656982422,1.3931283950805664,0.05401067733764649,0.28778330563376103,5000
6,woman,talked,The woman talked. The woman, talked,10062,5,60,14.334725379943848,12.936327934265137,1.398397445678711,-0.03834095001220703,0.2971326665937226,6000
7,car,stopped,The car stopped. The car, stopped,6331,5,60,14.485960960388184,14.406177520751953,0.07978343963623047,-0.03561744689941406,0.36592185615105355,7000
8,train,moved,The train moved. The train, moved,4395,5,60,15.888041496276855,13.167612075805664,2.7204294204711914,0.036690807342529295,0.20449611342934437,8000
9,king,ruled,The king ruled. The king, ruled,12969,5,60,16.34830093383789,11.967889785766602,4.380411148071289,0.46728973388671874,0.5517283803365544,9000
10,queen,spoke,The queen spoke. The queen, spoke,7560,5,60,14.628744125366211,12.934487342834473,1.6942567825317383,0.00963134765625,0.1378409308082659,10000
11,teacher,asked,The teacher asked. The teacher, asked,2546,5,60,15.548632621765137,12.288918495178223,3.259714126586914,-0.04011325836181641,0.15608599486540622,11000
12,student,answered,The student answered. The student, answered,9577,5,60,14.042243003845215,11.268308639526367,2.7739343643188477,-0.04739789962768555,0.2174008462564478,12000
13,doctor,helped,The doctor helped. The doctor, helped,6518,5,60,14.913437843322754,11.839578628540039,3.073859214782715,0.13886585235595703,0.4548515265763403,13000
14,player,scored,The player scored. The player, scored,11691,5,60,13.918039321899414,13.374751091003418,0.5432882308959961,-0.029756546020507812,0.21204808713539777,14000
15,artist,painted,The artist painted. The artist, painted,16264,5,60,15.178522109985352,11.18725299835205,3.991269111633301,0.04997587203979492,0.5335781535214799,15000
16,writer,wrote,The writer wrote. The writer, wrote,4159,5,60,14.68624210357666,12.117025375366211,2.569216728210449,0.019591808319091797,0.24068738717774577,16000
17,chef,cooked,The chef cooked. The chef, cooked,18621,5,45,14.855389595031738,12.692367553710938,2.163022041320801,-0.07746744155883789,0.3182206829712957,17000
18,farmer,worked,The farmer worked. The farmer, worked,4307,5,60,15.788662910461426,12.912566184997559,2.876096725463867,0.1065938949584961,0.19780002635898575,18000
19,river,flowed,The river flowed. The river, flowed,41115,5,60,15.08019733428955,14.350515365600586,0.7296819686889648,0.08381862640380859,0.29842038497827134,19000
20,fire,burned,The fire burned. The fire, burned,15676,5,60,14.854310989379883,13.061139106750488,1.7931718826293945,-0.001699542999267578,0.21937156876016012,20000
21,wind,blew,The wind blew. The wind, blew,24294,5,60,17.344585418701172,14.532846450805664,2.811738967895508,0.127044677734375,0.2968192824692977,21000
22,door,opened,The door opened. The door, opened,5485,5,60,14.78018856048584,14.753096580505371,0.02709197998046875,0.055852222442626956,0.24019622293153753,22000
