idx,a,b,prefix,io,s,io_id,s_id,t_star,n_edges_S,logit_diff_full,logit_diff_ablate_S,drop_S,drop_random_mean,drop_random_std,seed
0,John,Mary,"When John and Mary went to the store, John gave a drink to", Mary, John,5335,1757,14,195,5.171302795410156,0.5005178451538086,4.670784950256348,0.02819681167602539,0.08120395527488247,0
1,Mary,John,"When Mary and John went to the store, Mary gave a drink to", John, Mary,1757,5335,14,195,2.505472183227539,-0.6259384155273438,3.131410598754883,-0.08240480422973633,0.12539311581072382,1000
2,John,Alice,"When John and Alice went to the store, John gave a drink to", Alice, John,14862,1757,14,195,4.4111328125,3.402127265930176,1.0090055465698242,-0.13418111801147461,0.23809389768552613,2000
3,Alice,John,"When Alice and John went to the store, Alice gave a drink to", John, Alice,1757,14862,14,195,3.278676986694336,0.1355276107788086,3.1431493759155273,0.007046222686767578,0.058577900847555764,3000
4,John,Bob,"When John and Bob went to the store, John gave a drink to", Bob, John,5811,1757,14,195,3.4041290283203125,-0.8892946243286133,4.293423652648926,0.08014554977416992,0.1362001619382032,4000
5,Bob,John,"When Bob and John went to the store, Bob gave a drink to", John, Bob,1757,5811,14,195,3.1954708099365234,-2.2963762283325195,5.491847038269043,0.028908538818359374,0.07581548287526979,5000
6,John,Tom,"When John and Tom went to the store, John gave a drink to", Tom, John,4186,1757,14,195,3.583272933959961,0.7122383117675781,2.871034622192383,0.01063241958618164,0.09848612438137663,6000
7,Tom,John,"When Tom and John went to the store, Tom gave a drink to", John, Tom,1757,4186,14,195,2.6224536895751953,0.2828178405761719,2.3396358489990234,-0.034791755676269534,0.4682517262499784,7000
8,John,Sarah,"When John and Sarah went to the store, John gave a drink to", Sarah, John,10490,1757,14,195,4.709949493408203,2.268890380859375,2.441059112548828,-0.08475828170776367,0.31142734681988715,8000
9,Sarah,John,"When Sarah and John went to the store, Sarah gave a drink to", John, Sarah,1757,10490,14,195,3.2601280212402344,1.5036334991455078,1.7564945220947266,0.08188438415527344,0.3353673492554204,9000
10,John,James,"When John and James went to the store, John gave a drink to", James, John,3700,1757,14,195,3.0969772338867188,-2.047726631164551,5.1447038650512695,-0.05159139633178711,0.24076770600387276,10000
11,James,John,"When James and John went to the store, James gave a drink to", John, James,1757,3700,14,195,3.422689437866211,1.3331823348999023,2.0895071029663086,0.08105382919311524,0.11111011243734466,11000
12,John,Emily,"When John and Emily went to the store, John gave a drink to", Emily, John,17608,1757,14,195,3.71820068359375,3.9986886978149414,-0.2804880142211914,-0.05666217803955078,0.1602902198286987,12000
13,Emily,John,"When Emily and John went to the store, Emily gave a drink to", John, Emily,1757,17608,14,195,3.5481786727905273,0.2471942901611328,3.3009843826293945,-0.08439083099365234,0.19391670752251622,13000
14,John,David,"When John and David went to the store, John gave a drink to", David, John,3271,1757,14,195,3.0341529846191406,-4.610835075378418,7.644988059997559,0.025153255462646483,0.10435758645268489,14000
15,David,John,"When David and John went to the store, David gave a drink to", John, David,1757,3271,14,195,4.220776557922363,0.6159906387329102,3.604785919189453,0.058664131164550784,0.2365228716272653,15000
16,John,Lisa,"When John and Lisa went to the store, John gave a drink to", Lisa, John,15378,1757,14,195,4.679649353027344,-0.3623027801513672,5.041952133178711,0.0833547592163086,0.14955881189459547,16000
17,Lisa,John,"When Lisa and John went to the store, Lisa gave a drink to", John, Lisa,1757,15378,14,195,3.500988006591797,-1.0993757247924805,4.600363731384277,-0.15726938247680664,0.33727123274070114,17000
18,John,Paul,"When John and Paul went to the store, John gave a drink to", Paul, John,3362,1757,14,195,4.722855567932129,0.1573190689086914,4.5655364990234375,0.01737699508666992,0.07034638115001182,18000
19,Paul,John,"When Paul and John went to the store, Paul gave a drink to", John, Paul,1757,3362,14,195,4.044665336608887,-1.2293624877929688,5.2740278244018555,0.053216171264648435,0.13595154798386236,19000
20,John,Anna,"When John and Anna went to the store, John gave a drink to", Anna, John,11735,1757,14,195,4.017472267150879,4.234828948974609,-0.21735668182373047,-0.012761688232421875,0.16516301278163684,20000
