idx,a,b,prefix,io,s,io_id,s_id,t_star,n_edges_S,logit_diff_full,logit_diff_ablate_S,drop_S,drop_random_mean,drop_random_std,seed
0,John,Mary,"When John and Mary went to the store, John gave a drink to", Mary, John,6393,2516,13,180,4.097132682800293,-0.48363304138183594,4.580765724182129,0.01250772476196289,0.16702482601096857,0
1,Mary,John,"When Mary and John went to the store, Mary gave a drink to", John, Mary,2516,6393,13,180,2.7919921875,-1.1219425201416016,3.9139347076416016,0.03842763900756836,0.1568284404734634,1000
2,John,Alice,"When John and Alice went to the store, John gave a drink to", Alice, John,16922,2516,13,180,3.7690277099609375,-2.082180976867676,5.851208686828613,0.009746170043945313,0.1477552745147223,2000
3,Alice,John,"When Alice and John went to the store, Alice gave a drink to", John, Alice,2516,16922,13,180,4.581840515136719,-0.6925382614135742,5.274378776550293,0.1652318000793457,0.3859398330981583,3000
4,John,Bob,"When John and Bob went to the store, John gave a drink to", Bob, John,8679,2516,13,180,3.3468427658081055,-2.6945905685424805,6.041433334350586,0.016967391967773436,0.1749886680224144,4000
5,Bob,John,"When Bob and John went to the store, Bob gave a drink to", John, Bob,2516,8679,13,180,3.134641647338867,-0.6439609527587891,3.7786026000976562,0.02917957305908203,0.2806605089343001,5000
6,John,Tom,"When John and Tom went to the store, John gave a drink to", Tom, John,6270,2516,13,180,3.883143424987793,-1.1820669174194336,5.065210342407227,-0.1270075798034668,0.36488518301598494,6000
7,Tom,John,"When Tom and John went to the store, Tom gave a drink to", John, Tom,2516,6270,13,150,3.70755672454834,-2.0961828231811523,5.803739547729492,-0.04854269027709961,0.10943854889098427,7000
8,John,Sarah,"When John and Sarah went to the store, John gave a drink to", Sarah, John,15458,2516,13,165,3.7941951751708984,-1.0308961868286133,4.825091361999512,-0.06939964294433594,0.3017448407386091,8000
9,Sarah,John,"When Sarah and John went to the store, Sarah gave a drink to", John, Sarah,2516,15458,13,165,4.347116470336914,-1.5730533599853516,5.920169830322266,-0.08567066192626953,0.4318135723346366,9000
10,John,James,"When John and James went to the store, John gave a drink to", James, John,5490,2516,13,180,3.089646339416504,-2.036595344543457,5.126241683959961,0.08794679641723632,0.12448085826382824,10000
11,James,John,"When James and John went to the store, James gave a drink to", John, James,2516,5490,13,165,3.6770992279052734,-0.7450761795043945,4.422175407409668,0.0404667854309082,0.11135629983387776,11000
12,John,Emily,"When John and Emily went to the store, John gave a drink to", Emily, John,24504,2516,13,180,3.5919885635375977,-2.8195066452026367,6.411495208740234,-0.09121475219726563,0.40884848617486497,12000
13,Emily,John,"When Emily and John went to the store, Emily gave a drink to", John, Emily,2516,24504,13,150,4.21280574798584,-1.548492431640625,5.761298179626465,-0.07099075317382812,0.19247879619464955,13000
14,John,David,"When John and David went to the store, John gave a drink to", David, John,5119,2516,13,180,3.670269012451172,-3.4440059661865234,7.114274978637695,-0.06489009857177734,0.13517358289784737,14000
15,David,John,"When David and John went to the store, David gave a drink to", John, David,2516,5119,13,180,2.847781181335449,-0.8745441436767578,3.722325325012207,-0.06706151962280274,0.18615833661384068,15000
16,John,Lisa,"When John and Lisa went to the store, John gave a drink to", Lisa, John,22707,2516,13,180,4.089006423950195,-3.8401079177856445,7.92911434173584,0.12034025192260742,0.20286185362109732,16000
17,Lisa,John,"When Lisa and John went to the store, Lisa gave a drink to", John, Lisa,2516,22707,13,150,4.37690544128418,-1.426070213317871,5.802975654602051,0.053191089630126955,0.18565725544470857,17000
18,John,Paul,"When John and Paul went to the store, John gave a drink to", Paul, John,5171,2516,13,180,2.5682296752929688,-0.5979480743408203,3.166177749633789,-0.11969404220581055,0.2948789883172354,18000
19,Paul,John,"When Paul and John went to the store, Paul gave a drink to", John, Paul,2516,5171,13,180,3.3212461471557617,-0.6298179626464844,3.951064109802246,-0.019399070739746095,0.17467444086811879,19000
20,John,Anna,"When John and Anna went to the store, John gave a drink to", Anna, John,16543,2516,13,180,4.592678070068359,0.029891014099121094,4.562787055969238,0.05810098648071289,0.1562649685582609,20000
